translationId,productId,locale,title,descriptionHtml,currentIngredients,proposedIngredients,subtitle,subtitleStatus,action,reason
cmr0q5gqd008qaixkusdwqebe,cmr0q5gqd008paixk1kvpn4w7,ru,Винный соус,<p>Соус винный<br/>50 г</p>,,Соус винный,50 г,exists,MIGRATE,first line from descriptionHtml
cmr0q2td4001baixkxq7us2zm,cmr0q2td4001aaixkmtasxxxl,ru,Гавурма,<p>Древний армянский рецепт приготовления говядины в топленом масле. Подается с красным луком.<br/>160г</p>,,Древний армянский рецепт приготовления говядины в топленом масле. Подается с красным луком.,160г,exists,MIGRATE,first line from descriptionHtml
cmr0q56y4007zaixkfi8zuxel,cmr0q56y4007yaixkg1i3k1qa,ru,Гранатовый соус,<p>Соус гранатовый<br/>50 г</p>,,Соус гранатовый,50 г,exists,MIGRATE,first line from descriptionHtml
cmr0q425j004taixkckgezbkb,cmr0q425j004saixkhxw98399,ru,Грудка индейки,"<p>Грудка индейки, фирменный соус, лук, зелень<br/>200/40/20 г</p>",,"Грудка индейки, фирменный соус, лук, зелень",200/40/20 г,exists,MIGRATE,first line from descriptionHtml
cmr0q5hq0008taixk69oxuj23,cmr0q5hq0008saixkuynxcknl,ru,Демиглас,<p>Соус демиглас<br/>50 г</p>,,Соус демиглас,50 г,exists,MIGRATE,first line from descriptionHtml
cmr0q5aa20088aixkmk3tl4pd,cmr0q5aa20087aixkk7z1mw70,ru,Дор-блю соус,<p>Соус дор-блю<br/>50 г</p>,,Соус дор-блю,50 г,exists,MIGRATE,first line from descriptionHtml
cmr0q3znx004naixkokxb7tdl,cmr0q3znw004maixkqy06yw1u,ru,Каре ягненка по весу,"<p>Каре ягненка, фирменный соус, лук, зелень<br/>100/40/30 г</p>",,"Каре ягненка, фирменный соус, лук, зелень",100/40/30 г,exists,MIGRATE,first line from descriptionHtml
cmr0q3rjp003zaixk8ew208rg,cmr0q3rjp003yaixkjpaa2it2,ru,Картофель по-деревенски,<p>200г</p>,,,200г,exists,SKIP,standalone portion
cmr0q3qhm003waixkbxj8cxsy,cmr0q3qhm003vaixk54klrknr,ru,Картофель фри,<p>160г</p>,,,160г,exists,SKIP,standalone portion
cmr0q4tln006zaixkvhlj7nv7,cmr0q4tln006yaixkejaol5sc,ru,Картофель фри,<p>Картофель фри с фирменным (красным) соусом.<br/>120г</p>,,Картофель фри с фирменным (красным) соусом.,120г,exists,MIGRATE,first line from descriptionHtml
cmr0q4y7a007baixk2xkaxnmu,cmr0q4y7a007aaixkx7ltj8w8,ru,Кесадилья с куриным мясом,"<p>Тортилья, фирменный красный соус, лук, болгарский перец, сыр моцарелла, куриное мясо<br/>260 г</p>",,"Тортилья, фирменный красный соус, лук, болгарский перец, сыр моцарелла, куриное мясо",260 г,exists,MIGRATE,first line from descriptionHtml
cmr0q5ec0008kaixkrfh8uf6e,cmr0q5ec0008jaixkfev3f2ot,ru,Кетчуп фирменный,<p>Фирменный кетчуп<br/>50 г</p>,,Фирменный кетчуп,50 г,exists,MIGRATE,first line from descriptionHtml
cmr0q3um30048aixkg33suvja,cmr0q3um30047aixk1fo60j4l,ru,Колбаски собственного приготовления из курицы,"<p>Колбаски из курицы, фирменный соус, лук, зелень<br/>375/40/10 г</p>",,"Колбаски из курицы, фирменный соус, лук, зелень",375/40/10 г,exists,MIGRATE,first line from descriptionHtml
cmr0q3vle004baixkpauxijbn,cmr0q3vle004aaixkis4fac2t,ru,Колбаски собственного приготовления из свинины/говядины,"<p>Колбаски из свинины/говядины, фирменный соус, лук, зелень<br/>250/40/20 г</p>",,"Колбаски из свинины/говядины, фирменный соус, лук, зелень",250/40/20 г,exists,MIGRATE,first line from descriptionHtml
cmr0q53kh007qaixkkiwya8zk,cmr0q53kh007paixk2u94ofr7,ru,Красный бархат,<p>Классический красный бархат. Десерт подаётся с клубничным топпингом.<br/>1шт.</p>,,Классический красный бархат. Десерт подаётся с клубничным топпингом.,1шт.,exists,MIGRATE,first line from descriptionHtml
cmr0q3bsh002qaixkosovrcfu,cmr0q3bsg002paixkmr9to954,ru,Крем-суп с чечевицей,<p>Крем-суп с чечевицей<br/>300 г</p>,,Крем-суп с чечевицей,300 г,exists,MIGRATE,first line from descriptionHtml
cmr0q3crt002taixkdlm43j06,cmr0q3crt002saixkuxyjz34n,ru,Крем-суп сырный,<p>Подаётся с сухариками собственного производства.<br/>300г</p>,,Подаётся с сухариками собственного производства.,300г,exists,MIGRATE,first line from descriptionHtml
cmr0q3asn002naixki0fewmsj,cmr0q3asn002maixkg9uxir95,ru,Крем-суп томатный,<p>Томатный крем-суп<br/>300 г</p>,,Томатный крем-суп,300 г,exists,MIGRATE,first line from descriptionHtml
cmr0q4fmw005waixkqngqpvri,cmr0q4fmw005vaixk2ujnqro3,ru,Куриное ассорти,"<p>Куриная голень, куриные крылья, куриная грудка, грудка индейки, колбаски собственного приготовления из курицы, люля-кебаб из курицы, картофель. Подаётся с фирменным (красным) соусом и луком с зеленью.<br/>2.5кг</p>",,"Куриная голень, куриные крылья, куриная грудка, грудка индейки, колбаски собственного приготовления из курицы, люля-кебаб из курицы, картофель. Подаётся с фирменным (красным) соусом и луком с зеленью.",2.5кг,exists,MIGRATE,first line from descriptionHtml
cmr0q38fc002haixkm5jh3tbj,cmr0q38fc002gaixk4ozjdca4,ru,Куриные крылышки в соусе BBQ,"<p>Куриные крылышки, соус BBQ<br/>200 г</p>",,"Куриные крылышки, соус BBQ",200 г,exists,MIGRATE,first line from descriptionHtml
cmr0q4362004waixkymagxuqz,cmr0q4362004vaixk74tdpsyf,ru,Куриные крылья,"<p>Куриные крылья, фирменный соус, лук, зелень<br/>200/40/20 г</p>",,"Куриные крылья, фирменный соус, лук, зелень",200/40/20 г,exists,MIGRATE,first line from descriptionHtml
cmr0q3tnd0045aixk12fjarpi,cmr0q3tnd0044aixkmy4a7ea6,ru,Куриный стейк с сырной начинкой,"<p>Нежная куриная грудка с сырной начинкой, подаётся с картофельным пюре с добавлением шпината, а также фирменным соусом дор-блю.</p>",,"Нежная куриная грудка с сырной начинкой, подаётся с картофельным пюре с добавлением шпината, а также фирменным соусом дор-блю.",,missing,MIGRATE,first line from descriptionHtml
cmr0q4rdj006taixk5q4nucvi,cmr0q4rdi006saixkit1jqqmu,ru,Ламаджо из говядины,<p>Традиционная армянская лепёшка с мясом говядины. Подаётся с лимоном.</p>,,Традиционная армянская лепёшка с мясом говядины. Подаётся с лимоном.,,missing,MIGRATE,first line from descriptionHtml
cmr0q4sko006waixk4toxkkl1,cmr0q4sko006vaixkilehlqmf,ru,Ламаджо из говядины с сыром,<p>Традиционная армянская лепёшка с мясом говядины и сыром. Подаётся с лимоном.</p>,,Традиционная армянская лепёшка с мясом говядины и сыром. Подаётся с лимоном.,,missing,MIGRATE,first line from descriptionHtml
cmr0q48b3005baixkp5ncn0tt,cmr0q48b3005aaixkd80t7a6u,ru,Люля-кебаб из говядины с зеленью,<p>Подаётся с фирменным соусом и красным луком.<br/>160/40/20г</p>,,Подаётся с фирменным соусом и красным луком.,160/40/20г,exists,MIGRATE,first line from descriptionHtml
cmr0q47bb0058aixk0em4o33z,cmr0q47bb0057aixk1czrvz15,ru,Люля-кебаб из говядины с сыром,<p>Подаётся с фирменным соусом и красным луком.<br/>160/40/20г</p>,,Подаётся с фирменным соусом и красным луком.,160/40/20г,exists,MIGRATE,first line from descriptionHtml
cmr0q49de005eaixkc0bb9ww3,cmr0q49de005daixk403aeej0,ru,Люля-кебаб из курицы,<p>Подаётся с фирменным соусом и красным луком.<br/>150/40/20г</p>,,Подаётся с фирменным соусом и красным луком.,150/40/20г,exists,MIGRATE,first line from descriptionHtml
cmr0q4aev005haixkycg6sgv2,cmr0q4aev005gaixk0djcj0j7,ru,Люля-кебаб из курицы с шампиньонами,<p>Подаётся с фирменным соусом и красным луком.<br/>165/40/20г</p>,,Подаётся с фирменным соусом и красным луком.,165/40/20г,exists,MIGRATE,first line from descriptionHtml
cmr0q5dbs008haixkue80ojwc,cmr0q5dbs008gaixkvckxbxeg,ru,Майонез,<p>Майонез<br/>50 г</p>,,Майонез,50 г,exists,MIGRATE,first line from descriptionHtml
cmr0q4hqf0062aixkokletauo,cmr0q4hqf0061aixkf9mumrl9,ru,Маргарита,"<p>Авторское тесто, фирменный соус «Маргарита», моцарелла, сулугуни, базилик, томаты<br/>28 см</p>",,"Авторское тесто, фирменный соус «Маргарита», моцарелла, сулугуни, базилик, томаты",28 см,exists,MIGRATE,first line from descriptionHtml
cmr0q5isu008waixk9hy41nm2,cmr0q5isu008vaixkrarsh3im,ru,Мацун,<p>Мацун<br/>100 мл</p>,,Мацун,100 мл,exists,MIGRATE,first line from descriptionHtml
cmr0q5fhq008naixk9f59kpvd,cmr0q5fhp008maixkebhmos4a,ru,Мацун чесночный,<p>Мацун чесночный<br/>50 г</p>,,Мацун чесночный,50 г,exists,MIGRATE,first line from descriptionHtml
cmr0q52ji007naixkgn5bxu89,cmr0q52ji007maixkp9r3han1,ru,Медовик с солёной карамелью,<p>Классический медовик.<br/>1шт.</p>,,Классический медовик.,1шт.,exists,MIGRATE,first line from descriptionHtml
cmr0q51j1007kaixkdttpsqmm,cmr0q51j1007jaixkvckhoajo,ru,Муравейник,"<p>Десерт подаётся с карамельным топпингом, миндальной стружкой.<br/>1шт.</p>",,"Десерт подаётся с карамельным топпингом, миндальной стружкой.",1шт.,exists,MIGRATE,first line from descriptionHtml
cmr0q2ueq001eaixk79j3gakl,cmr0q2ueq001daixk1czjtbez,ru,Мясная тарелка,"<p>Бастурма, суджук, пастрами из говядины, свиной окорок. Подается с горчичным соусом.<br/>180г</p>",,"Бастурма, суджук, пастрами из говядины, свиной окорок. Подается с горчичным соусом.",180г,exists,MIGRATE,first line from descriptionHtml
